q;HS F;EMF F;ERF F;ECF F;HS R;EMF R;ERF R;ECF R;HS E;EMF E;ERF E;ECF E
0.7;6(0.572);0;0;0;8(0.763);0;0;0;6(0.572);0;0;0
0.75;6(0.572);0;0;0;8(0.763);0;0;0;6(0.572);0;0;0
0.8;6(0.572);0;0;0;8(0.763);0;0;0;6(0.572);0;0;0
0.85;6(0.572);0;0;0;8(0.763);0;0;0;6(0.572);0;0;0
0.9;6(0.572);1(0.095);1(0.095);1(0.095);8(0.763);1(0.095);1(0.095);1(0.095);6(0.572);1(0.095);1(0.095);1(0.095)
0.95;6(0.572);1(0.095);1(0.095);4(0.381);8(0.763);1(0.095);1(0.095);5(0.477);6(0.572);2(0.191);1(0.095);3(0.286)
