"(p, q)","mu_{emf} (sigma_{emf})","mu_{erf} (sigma_{erf})","mu{ecf} (sigma_{ecf})"
"(0.95, 0.7)","7.8 (0.41)","8.92(0.46)","25.27 (1.1)"
"(0.95, 0.8)","3.81 (0.14)","3.25(0.12)","13.17 (0.34)"
"(0.95, 0.9)","3.46 (0.1)","3.48(0.11)","19.86 (2.75)"
"(0.995, 0.7)","6824.23 (308.65)","8026.18(272.25)","30309.58 (861.76)"
"(0.995, 0.8)","462.54 (21.94)","570.8(30.89)","3106.27 (431.8)"
"(0.995, 0.9)","68.59 (4.72)","92.32(7.44)","474.08 (27.29)"
"(0.99, 0.7)","1414.08 (62.9)","1651.96(55.97)","5160.93 (142.26)"
"(0.99, 0.8)","104.61 (5.36)","127.98(7.69)","660.21 (100.57)"
"(0.99, 0.9)","21.58 (1.18)","27.82(1.87)","154.44 (3.55)"
