"(p, q)","mu_{emf} (sigma_{emf})","mu_{erf} (sigma_{erf})","mu{ecf} (sigma_{ecf})"
"(0.95, 0.7)","11.75 (0.54)","16.44(0.91)","321.2 (84.46)"
"(0.95, 0.8)","7.54 (0.19)","6.34(0.18)","96.08 (15.95)"
"(0.95, 0.9)","9.94 (0.21)","9.39(0.27)","55.03 (4.2)"
"(0.995, 0.7)","11243.29 (358.1)","13500.65(614.38)","895339.62 (186366.81)"
"(0.995, 0.8)","832.81 (46.49)","997.18(54.45)","78670.55 (9065.02)"
"(0.995, 0.9)","132.8 (10.2)","193.75(19.34)","2689.31 (1242.07)"
"(0.99, 0.7)","2376.44 (74.83)","2875.52(126.77)","98572.86 (19633.08)"
"(0.99, 0.8)","196.12 (12)","232.72(14)","12697.44 (1346.02)"
"(0.99, 0.9)","46.42 (2.61)","60.13(5.05)","679.78 (305.69)"
