DATE,POILBREUSDM
2000-01-01,25.6333333333333
2000-02-01,28.0304761904762
2000-03-01,27.494347826087
2000-04-01,23.1535
2000-05-01,27.8052173913044
2000-06-01,30.4831818181818
2000-07-01,28.8942857142857
2000-08-01,31.6291304347826
2000-09-01,33.3604761904762
2000-10-01,31.3027272727273
2000-11-01,32.8809090909091
2000-12-01,25.4757142857143
2001-01-01,25.79
2001-02-01,27.8965
2001-03-01,25.0345454545454
2001-04-01,26.0180952380952
2001-05-01,28.4382608695652
2001-06-01,28.0038095238095
2001-07-01,24.9913636363636
2001-08-01,25.7360869565217
2001-09-01,25.837
2001-10-01,21.0326086956522
2001-11-01,19.1054545454545
2001-12-01,18.6814285714286
2002-01-01,20.0330434782609
2002-02-01,20.545
2002-03-01,24.0009523809524
2002-04-01,25.9454545454545
2002-05-01,25.5495652173913
2002-06-01,24.368
2002-07-01,25.8578260869565
2002-08-01,26.62
2002-09-01,28.3709523809524
2002-10-01,27.5226086956522
2002-11-01,24.2504761904762
2002-12-01,28.3172727272727
2003-01-01,30.8086956521739
2003-02-01,32.6625
2003-03-01,30.1680952380952
2003-04-01,25.035
2003-05-01,25.7145454545455
2003-06-01,27.5666666666667
2003-07-01,28.5039130434783
2003-08-01,29.7180952380952
2003-09-01,27.0440909090909
2003-10-01,29.435652173913
2003-11-01,28.9485
2003-12-01,29.7434782608696
2004-01-01,30.9818181818182
2004-02-01,30.795
2004-03-01,33.424347826087
2004-04-01,33.3577272727273
2004-05-01,37.5890476190476
2004-06-01,35.4377272727273
2004-07-01,38.2268181818182
2004-08-01,42.2240909090909
2004-09-01,43.3159090909091
2004-10-01,49.7361904761905
2004-11-01,43.7486363636364
2004-12-01,39.965652173913
2005-01-01,44.1747619047619
2005-02-01,45.721
2005-03-01,53.2291304347826
2005-04-01,52.6042857142857
2005-05-01,49.2854545454545
2005-06-01,54.8390909090909
2005-07-01,57.6257142857143
2005-08-01,63.9504347826087
2005-09-01,63.2613636363636
2005-10-01,58.9085714285714
2005-11-01,55.4495454545455
2005-12-01,57.1568181818182
2006-01-01,63.3118181818182
2006-02-01,60.8055
2006-03-01,62.7469565217391
2006-04-01,70.34
2006-05-01,70.51
2006-06-01,69.2327272727273
2006-07-01,74.0409523809524
2006-08-01,73.5004347826087
2006-09-01,62.5271428571429
2006-10-01,58.7581818181818
2006-11-01,59.2227272727273
2006-12-01,62.2604761904762
2007-01-01,54.5030434782609
2007-02-01,57.9695
2007-03-01,62.3572727272727
2007-04-01,67.6904761904762
2007-05-01,67.7178260869565
2007-06-01,70.6190476190476
2007-07-01,76.1331818181818
2007-08-01,71.3130434782609
2007-09-01,76.772
2007-10-01,82.5073913043478
2007-11-01,92.7313636363636
2007-12-01,91.5195238095238
2008-01-01,92.0917391304348
2008-02-01,94.722380952381
2008-03-01,103.161904761905
2008-04-01,110.033181818182
2008-05-01,123.862272727273
2008-06-01,132.760476190476
2008-07-01,133.585217391304
2008-08-01,113.800476190476
2008-09-01,98.7554545454546
2008-10-01,71.9634782608696
2008-11-01,52.7135
2008-12-01,40.5117391304348
2009-01-01,43.1745454545455
2009-02-01,42.9105
2009-03-01,46.5827272727273
2009-04-01,50.5190909090909
2009-05-01,57.5014285714286
2009-06-01,68.58
2009-07-01,64.9043478260869
2009-08-01,72.5919047619048
2009-09-01,67.5131818181818
2009-10-01,72.9686363636364
2009-11-01,76.9366666666667
2009-12-01,74.7895652173913
2010-01-01,76.6023809523809
2010-02-01,73.903
2010-03-01,79.5191304347826
2010-04-01,85.1563636363636
2010-05-01,76.1323809523809
2010-06-01,75.2463636363636
2010-07-01,75.195
2010-08-01,76.8918181818182
2010-09-01,77.9381818181818
2010-10-01,83.3385714285714
2010-11-01,85.8009090909091
2010-12-01,91.96
2011-01-01,96.952380952381
2011-02-01,104.2385
2011-03-01,114.917391304348
2011-04-01,123.325714285714
2011-05-01,114.929545454545
2011-06-01,114.370454545455
2011-07-01,117.483333333333
2011-08-01,110.354782608696
2011-09-01,111.962727272727
2011-10-01,110.429523809524
2011-11-01,111.158636363636
2011-12-01,108.347727272727
2012-01-01,111.415
2012-02-01,119.165714285714
2012-03-01,124.703181818182
2012-04-01,120.47
2012-05-01,110.822173913043
2012-06-01,95.8890476190476
2012-07-01,102.979545454545
2012-08-01,113.780434782609
2012-09-01,113.6415
2012-10-01,111.792608695652
2012-11-01,109.911818181818
2012-12-01,109.569047619048
2013-01-01,112.527826086957
2013-02-01,116.488
2013-03-01,109.585714285714
2013-04-01,102.96
2013-05-01,102.980434782609
2013-06-01,103.3585
2013-07-01,107.779565217391
