Date;Last
7-3-1972;26,213
8-3-1972;26,257
9-3-1972;2,644
10-3-1972;26,409
13-3-1972;26,387
14-3-1972;2,629
15-3-1972;2,621
16-3-1972;2,62
17-3-1972;2,61
20-3-1972;26,105
21-3-1972;26,175
22-3-1972;26,168
23-3-1972;26,096
24-3-1972;26,065
27-3-1972;26,107
28-3-1972;2,615
29-3-1972;2,616
30-3-1972;26,152
31-3-1972;26,163
3-4-1972;2,616
4-4-1972;26,128
5-4-1972;2,612
6-4-1972;26,093
7-4-1972;26,088
10-4-1972;26,082
11-4-1972;26,115
12-4-1972;26,125
13-4-1972;26,102
14-4-1972;26,086
17-4-1972;26,082
18-4-1972;26,068
19-4-1972;26,068
20-4-1972;26,093
21-4-1972;26,084
24-4-1972;26,099
25-4-1972;26,111
26-4-1972;2,611
27-4-1972;26,116
28-4-1972;2,611
1-5-1972;2,611
2-5-1972;26,108
3-5-1972;26,115
4-5-1972;26,112
5-5-1972;26,105
8-5-1972;26,107
9-5-1972;26,139
10-5-1972;26,152
11-5-1972;26,128
12-5-1972;2,613
15-5-1972;26,122
16-5-1972;26,113
17-5-1972;26,136
18-5-1972;26,135
19-5-1972;26,132
22-5-1972;26,133
23-5-1972;26,128
24-5-1972;26,133
25-5-1972;26,116
26-5-1972;26,126
30-5-1972;26,125
31-5-1972;2,613
1-6-1972;26,125
2-6-1972;26,117
5-6-1972;26,114
6-6-1972;26,109
7-6-1972;26,115
8-6-1972;26,112
9-6-1972;26,112
12-6-1972;2,607
13-6-1972;26,076
14-6-1972;2,608
15-6-1972;26,008
16-6-1972;25,913
19-6-1972;2,591
20-6-1972;2,585
21-6-1972;2,576
22-6-1972;2,572
23-6-1972;2,5
26-6-1972;25,195
27-6-1972;24,925
28-6-1972;2,485
29-6-1972;24,635
30-6-1972;2,441
3-7-1972;2,421
5-7-1972;2,446
6-7-1972;24,355
7-7-1972;24,385
10-7-1972;2,442
11-7-1972;2,441
12-7-1972;24,455
13-7-1972;24,537
14-7-1972;24,465
17-7-1972;24,445
18-7-1972;24,445
19-7-1972;24,455
20-7-1972;2,447
21-7-1972;24,505
24-7-1972;24,458
25-7-1972;24,482
26-7-1972;24,483
27-7-1972;24,505
28-7-1972;2,449
31-7-1972;24,498
1-8-1972;24,485
2-8-1972;24,505
3-8-1972;24,497
4-8-1972;24,505
7-8-1972;24,505
8-8-1972;24,527
9-8-1972;2,454
10-8-1972;24,525
11-8-1972;24,522
14-8-1972;24,523
15-8-1972;24,534
16-8-1972;24,542
17-8-1972;24,523
18-8-1972;24,509
21-8-1972;24,498
22-8-1972;24,461
23-8-1972;24,476
24-8-1972;2,446
25-8-1972;24,465
28-8-1972;24,464
29-8-1972;24,497
30-8-1972;24,509
31-8-1972;24,483
1-9-1972;24,489
5-9-1972;24,485
6-9-1972;24,496
7-9-1972;24,485
8-9-1972;24,467
11-9-1972;24,464
12-9-1972;24,461
13-9-1972;24,472
14-9-1972;24,476
15-9-1972;2,447
18-9-1972;24,465
19-9-1972;24,429
20-9-1972;2,444
21-9-1972;24,432
22-9-1972;2,434
25-9-1972;24,329
26-9-1972;24,307
27-9-1972;24,284
28-9-1972;24,223
29-9-1972;24,195
2-10-1972;24,242
3-10-1972;24,231
4-10-1972;2,424
5-10-1972;24,232
6-10-1972;24,217
10-10-1972;24,191
11-10-1972;24,204
12-10-1972;24,185
13-10-1972;24,179
16-10-1972;24,055
17-10-1972;24,074
18-10-1972;2,408
19-10-1972;23,925
20-10-1972;23,926
24-10-1972;23,755
25-10-1972;2,361
26-10-1972;2,344
27-10-1972;2,346
30-10-1972;2,33
31-10-1972;23,405
1-11-1972;23,565
2-11-1972;23,532
3-11-1972;2,345
6-11-1972;23,565
8-11-1972;2,351
9-11-1972;23,447
10-11-1972;2,348
13-11-1972;2,349
14-11-1972;23,504
15-11-1972;23,554
16-11-1972;23,595
17-11-1972;23,504
20-11-1972;2,351
21-11-1972;23,518
22-11-1972;23,509
24-11-1972;23,498
27-11-1972;23,506
28-11-1972;23,519
29-11-1972;23,528
30-11-1972;23,522
1-12-1972;23,474
4-12-1972;23,478
5-12-1972;23,446
6-12-1972;23,443
7-12-1972;23,405
8-12-1972;23,432
11-12-1972;2,338
12-12-1972;23,381
13-12-1972;2,34
14-12-1972;23,415
15-12-1972;2,347
18-12-1972;23,478
19-12-1972;23,438
20-12-1972;23,462
21-12-1972;23,447
22-12-1972;23,475
26-12-1972;23,486
27-12-1972;23,504
28-12-1972;23,476
29-12-1972;2,348
2-1-1973;23,472
3-1-1973;23,487
4-1-1973;23,503
5-1-1973;23,517
8-1-1973;2,351
9-1-1973;23,514
10-1-1973;23,525
11-1-1973;23,513
12-1-1973;23,518
15-1-1973;23,509
16-1-1973;23,509
17-1-1973;23,527
18-1-1973;23,531
19-1-1973;23,525
22-1-1973;23,535
23-1-1973;23,553
24-1-1973;23,595
25-1-1973;23,605
26-1-1973;2,361
29-1-1973;2,371
30-1-1973;2,379
31-1-1973;23,817
1-2-1973;23,871
2-2-1973;2,364
5-2-1973;23,808
6-2-1973;2,379
7-2-1973;2,383
8-2-1973;23,828
9-2-1973;23,818
13-2-1973;2,44
14-2-1973;2,47
15-2-1973;2,45
16-2-1973;24,331
20-2-1973;24,385
21-2-1973;2,442
22-2-1973;2,461
23-2-1973;2,474
26-2-1973;2,465
27-2-1973;2,468
28-2-1973;2,49
1-3-1973;2,5
2-3-1973;2,5
5-3-1973;2,447
6-3-1973;2,462
7-3-1973;2,472
8-3-1973;2,473
9-3-1973;24,705
12-3-1973;2,47
13-3-1973;24,685
14-3-1973;2,464
15-3-1973;2,464
16-3-1973;2,457
19-3-1973;2,46
20-3-1973;24,665
21-3-1973;24,737
22-3-1973;2,474
23-3-1973;24,737
26-3-1973;24,767
27-3-1973;24,814
28-3-1973;24,814
29-3-1973;2,482
30-3-1973;24,755
2-4-1973;24,776
3-4-1973;24,762
4-4-1973;24,814
5-4-1973;24,825
6-4-1973;2,483
9-4-1973;24,837
10-4-1973;24,867
11-4-1973;24,878
12-4-1973;24,834
13-4-1973;24,805
16-4-1973;24,822
17-4-1973;24,845
18-4-1973;24,823
19-4-1973;24,837
20-4-1973;24,848
23-4-1973;24,845
24-4-1973;24,836
25-4-1973;2,488
26-4-1973;24,863
27-4-1973;24,867
30-4-1973;2,489
1-5-1973;24,883
2-5-1973;24,935
3-5-1973;24,893
4-5-1973;24,896
7-5-1973;24,913
8-5-1973;24,984
9-5-1973;25,044
10-5-1973;25,055
11-5-1973;2,511
14-5-1973;2,539
15-5-1973;2,564
16-5-1973;25,435
17-5-1973;2,547
18-5-1973;25,505
21-5-1973;25,695
22-5-1973;25,605
23-5-1973;25,555
24-5-1973;2,546
25-5-1973;25,395
29-5-1973;2,556
30-5-1973;25,645
31-5-1973;25,661
1-6-1973;2,573
4-6-1973;2,583
5-6-1973;2,58
6-6-1973;2,57
7-6-1973;2,573
8-6-1973;2,574
11-6-1973;25,725
12-6-1973;25,742
13-6-1973;2,573
14-6-1973;2,577
15-6-1973;2,58
18-6-1973;2,581
19-6-1973;2,571
20-6-1973;2,574
21-6-1973;2,573
22-6-1973;2,574
25-6-1973;2,575
26-6-1973;2,577
27-6-1973;25,805
28-6-1973;2,583
29-6-1973;2,581
2-7-1973;25,802
3-7-1973;2,579
5-7-1973;25,735
6-7-1973;25,575
9-7-1973;2,558
10-7-1973;2,547
11-7-1973;2,547
12-7-1973;25,443
13-7-1973;2,542
16-7-1973;25,465
17-7-1973;2,544
18-7-1973;25,445
19-7-1973;25,335
20-7-1973;25,395
23-7-1973;2,535
24-7-1973;25,205
25-7-1973;25,035
26-7-1973;2,485
27-7-1973;2,504
30-7-1973;25,035
31-7-1973;2,499
1-8-1973;2,517
2-8-1973;2,515
3-8-1973;25,085
6-8-1973;24,925
7-8-1973;2,497
8-8-1973;2,5
9-8-1973;2,481
10-8-1973;2,475
13-8-1973;2,475
14-8-1973;24,695
15-8-1973;2,462
16-8-1973;2,459
17-8-1973;24,635
20-8-1973;2,477
21-8-1973;2,469
22-8-1973;24,655
23-8-1973;2,457
24-8-1973;24,585
27-8-1973;2,461
28-8-1973;24,575
29-8-1973;2,465
