"d","p","q","EMF SW","ERF SW","F","T"
NA,0.95,0.7,"0.675","0.379","0.533","0**"
NA,0.95,0.8,"0.313","0.505","0.574","0**"
NA,0.95,0.9,"0.875","0.212","0.017**","0**"
NA,0.995,0.7,"0.205","0.676","0.388","0.008**"
NA,0.995,0.8,"0.53","0.679","0.405","0**"
NA,0.995,0.9,"0.345","0.056*","0.025**","0**"
NA,0.99,0.7,"0.321","0.614","0.494","0.189"
20,0.99,0.8,"0.527","0.634","0.391","0.008**"
NA,0.99,0.9,"0.042**","0.023**","0.002**","0**"
