"d","p","q","EMF SW","ERF SW","F","T"
NA,0.95,0.7,"0.628","0.192","0.413","0**"
NA,0.95,0.8,"0.321","0.006**","0.461","0**"
NA,0.95,0.9,"0.449","0.162","0.425","0.001**"
NA,0.995,0.7,"0.936","0.048**","0.814","0.002**"
NA,0.995,0.8,"0.421","0.004**","0.902","0.171"
NA,0.995,0.9,"0.495","0.856","0.156","0**"
NA,0.99,0.7,"0.991","0.047**","0.821","0**"
30,0.99,0.8,"0.515","0.002**","0.982","0.705"
NA,0.99,0.9,"0.214","0.925","0.12","0**"
