"d","p","q","EMF SW","ERF SW","F","T"
NA,0.95,0.7,"0.719","0.64","0.718","0**"
NA,0.95,0.8,"0.268","0.917","0.855","0.217"
NA,0.95,0.9,"0.21","0.543","0.358","0.52"
NA,0.995,0.7,"0.853","0.268","0.301","0.309"
NA,0.995,0.8,"0.042**","0**","0.465","0**"
NA,0.995,0.9,"0.575","0.594","0.281","0**"
NA,0.99,0.7,"0.784","0.449","0.439","0.017**"
20,0.99,0.8,"0.032**","0**","0.516","0**"
NA,0.99,0.9,"0.366","0.362","0.29","0**"
