"d","p","q","EMF SW","ERF SW","F","T"
NA,0.95,0.7,"0.051*","0.823","0.661","0**"
NA,0.95,0.8,"0.247","0.046**","0.425","0.823"
NA,0.95,0.9,"0.053*","0.637","0.814","0.103"
NA,0.995,0.7,"0.214","0.397","0.546","0.001**"
NA,0.995,0.8,"0.221","0.661","0.178","0**"
NA,0.995,0.9,"0.347","0.293","0.01**","0**"
NA,0.99,0.7,"0.203","0.471","0.524","0**"
10,0.99,0.8,"0.157","0.564","0.162","0**"
NA,0.99,0.9,"0.302","0.295","0.029**","0**"
