"d","p","q","EMF SW","ERF SW","F","T"
NA,0.95,0.7,"0.829","0.024**","0.625","0.108"
NA,0.95,0.8,"0.151","0.979","0.061*","0**"
NA,0.95,0.9,"0.069*","0.039**","0.945","0**"
NA,0.995,0.7,"0.511","0.186","0.882","0.003**"
NA,0.995,0.8,"0.378","0.165","0.757","0**"
NA,0.995,0.9,"0.121","0.469","0.011**","0**"
NA,0.99,0.7,"0.477","0.237","0.915","0.025**"
10,0.99,0.8,"0.344","0.162","0.922","0**"
NA,0.99,0.9,"0.108","0.227","0**","0**"
