"d","p","q","EMF SW","ERF SW","F","T"
NA,0.95,0.7,"0.129","0.933","0.276","0**"
NA,0.95,0.8,"0.053*","0.187","0.746","0.001**"
NA,0.95,0.9,"0.196","0.035**","0.968","0.265"
NA,0.995,0.7,"0.1","0.231","0.017**","0.588"
NA,0.995,0.8,"0.313","0.704","0.812","0**"
NA,0.995,0.9,"0.156","0.348","0.526","0**"
NA,0.99,0.7,"0.173","0.298","0.032**","0.258"
10,0.99,0.8,"0.24","0.709","0.704","0**"
NA,0.99,0.9,"0.08*","0.41","0.764","0**"
