"d","p","q","EMF SW","ERF SW","F","T"
NA,0.95,0.7,"0.322","0.048**","0.242","0.266"
NA,0.95,0.8,"0.764","0.958","0.347","0.649"
NA,0.95,0.9,"0.989","0.86","0.747","0.009**"
NA,0.995,0.7,"0.853","0.136","0.292","0**"
NA,0.995,0.8,"0.005**","0.393","0.748","0**"
NA,0.995,0.9,"0.672","0.016**","0.003**","0**"
NA,0.99,0.7,"0.832","0.167","0.216","0.004**"
30,0.99,0.8,"0.004**","0.471","0.685","0**"
NA,0.99,0.9,"0.959","0.013**","0.005**","0**"
