"d","p","q","EMF JB","ERF JB","F","T"
NA,0.95,0.7,"0.928","0.029**","0.625","0.108"
NA,0.95,0.8,"0.543","0.985","0.061*","0**"
NA,0.95,0.9,"0.247","0.286","0.945","0**"
NA,0.995,0.7,"0.408","0.355","0.882","0.003**"
NA,0.995,0.8,"0.41","0.199","0.757","0**"
NA,0.995,0.9,"0.206","0.35","0.011**","0**"
NA,0.99,0.7,"0.497","0.312","0.915","0.025**"
10,0.99,0.8,"0.346","0.269","0.922","0**"
NA,0.99,0.9,"0.248","0.157","0**","0**"
