"d","p","q","EMF JB","ERF JB","F","T"
NA,0.95,0.7,"0.988","0.109","0.498","0**"
NA,0.95,0.8,"0.405","0.677","0.263","0**"
NA,0.95,0.9,"0.7","0.906","0.681","0.001**"
NA,0.995,0.7,"0.913","0.69","0.255","0.008**"
NA,0.995,0.8,"0.379","0.804","0.896","0**"
NA,0.995,0.9,"0.052*","0**","0.001**","0**"
NA,0.99,0.7,"0.92","0.71","0.267","0.144"
20,0.99,0.8,"0.361","0.776","0.952","0**"
NA,0.99,0.9,"0.006**","0**","0.004**","0**"
