"d","p","q","EMF JB","ERF JB","F","T"
NA,0.95,0.7,"0.614","0.804","0.012**","0**"
NA,0.95,0.8,"0.891","0.943","0.721","0.002**"
NA,0.95,0.9,"0.438","0.607","0.377","0.012**"
NA,0.995,0.7,"0.591","0.126","0.838","0**"
NA,0.995,0.8,"0.382","0.932","0.725","0**"
NA,0.995,0.9,"0.67","0.321","0.015**","0**"
NA,0.99,0.7,"0.583","0.129","0.501","0**"
30,0.99,0.8,"0.421","0.868","0.703","0.01**"
NA,0.99,0.9,"0.6","0.127","0.045**","0**"
