"d","p","q","EMF JB","ERF JB","F","T"
NA,0.95,0.7,"0.281","0.92","0.661","0**"
NA,0.95,0.8,"0.312","0.118","0.425","0.823"
NA,0.95,0.9,"0.189","0.477","0.814","0.103"
NA,0.995,0.7,"0.398","0.751","0.546","0.001**"
NA,0.995,0.8,"0.429","0.534","0.178","0**"
NA,0.995,0.9,"0.226","0.638","0.01**","0**"
NA,0.99,0.7,"0.339","0.665","0.524","0**"
10,0.99,0.8,"0.396","0.451","0.162","0**"
NA,0.99,0.9,"0.229","0.71","0.029**","0**"
