"d","p","q","EMF JB","ERF JB","F","T"
NA,0.95,0.7,"0.142","0.961","0.276","0**"
NA,0.95,0.8,"0.216","0.313","0.746","0.001**"
NA,0.95,0.9,"0.457","0.353","0.968","0.265"
NA,0.995,0.7,"0.229","0.509","0.017**","0.588"
NA,0.995,0.8,"0.387","0.674","0.812","0**"
NA,0.995,0.9,"0.379","0.745","0.526","0**"
NA,0.99,0.7,"0.243","0.64","0.032**","0.258"
10,0.99,0.8,"0.369","0.606","0.704","0**"
NA,0.99,0.9,"0.241","0.567","0.764","0**"
