"d","p","q","EMF JB","ERF JB","F","T"
NA,0.95,0.7,"0.63","0.329","0.533","0**"
NA,0.95,0.8,"0.193","0.228","0.574","0**"
NA,0.95,0.9,"0.812","0.522","0.017**","0**"
NA,0.995,0.7,"0.72","0.783","0.388","0.008**"
NA,0.995,0.8,"0.496","0.662","0.405","0**"
NA,0.995,0.9,"0.553","0.275","0.025**","0**"
NA,0.99,0.7,"0.764","0.817","0.494","0.189"
20,0.99,0.8,"0.507","0.583","0.391","0.008**"
NA,0.99,0.9,"0.293","0.257","0.002**","0**"
