"d","p","q","EMF JB","ERF JB","F","T"
NA,0.95,0.7,"0.735","0.726","0.718","0**"
NA,0.95,0.8,"0.478","0.922","0.855","0.217"
NA,0.95,0.9,"0.301","0.453","0.358","0.52"
NA,0.995,0.7,"0.759","0.504","0.301","0.309"
NA,0.995,0.8,"0.032**","0**","0.465","0**"
NA,0.995,0.9,"0.451","0.623","0.281","0**"
NA,0.99,0.7,"0.662","0.681","0.439","0.017**"
20,0.99,0.8,"0.02**","0**","0.516","0**"
NA,0.99,0.9,"0.415","0.438","0.29","0**"
