"d","p","q","EMF JB","ERF JB","F","T"
NA,0.95,0.7,"0.812","0.323","0.413","0**"
NA,0.95,0.8,"0.484","0.025**","0.461","0**"
NA,0.95,0.9,"0.508","0.14","0.425","0.001**"
NA,0.995,0.7,"0.971","0.157","0.814","0.002**"
NA,0.995,0.8,"0.572","0.001**","0.902","0.171"
NA,0.995,0.9,"0.625","0.69","0.156","0**"
NA,0.99,0.7,"0.966","0.137","0.821","0**"
30,0.99,0.8,"0.589","0**","0.982","0.705"
NA,0.99,0.9,"0.449","0.66","0.12","0**"
