"(p, q)","mu_{emf} (sigma_{emf})","mu_{erf} (sigma_{erf})","mu{ecf} (sigma_{ecf})"
"(0.95, 0.7)","4.3 (0.15)","4.48(0.2)","33.71 (2.8)"
"(0.95, 0.8)","4.94 (0.15)","4.24(0.14)","13.52 (0.82)"
"(0.95, 0.9)","4.02 (0.12)","4.12(0.1)","18.67 (2.07)"
"(0.995, 0.7)","6059.83 (197.74)","6922.93(231.72)","80976.04 (7311.73)"
"(0.995, 0.8)","419.61 (22.81)","593.59(33.49)","3491.52 (513.48)"
"(0.995, 0.9)","26.59 (2.25)","46.77(4.46)","1184.52 (264.58)"
"(0.99, 0.7)","1182.4 (38.31)","1343.13(44.75)","10318.81 (719.68)"
"(0.99, 0.8)","80.93 (4.89)","117.9(7.46)","644.71 (99.29)"
"(0.99, 0.9)","10.31 (0.33)","15.97(1.04)","223.55 (38.11)"
