ise_gold,ise_erf,ise_ahmed
4003.4404833363064,4348.3594191675675,21313.64667597154
3998.429606416394,4527.492080953622,21194.33902720046
3751.6481152652823,4617.681390443163,21231.408015006873
4266.760868973267,4689.783027011819,20038.44645896065
4166.598496956898,4615.875489086187,19891.95265121525
4055.305740550818,4369.033396815845,20112.409175325454
4035.8771001590558,4394.472164198674,21131.666991531707
4093.712993272914,4958.542958063505,20367.71632869566
4115.07949258671,4470.193255940267,20168.605548713138
3799.1455361092767,4379.044492631573,20474.490086225225
3903.4053771959034,4341.222130857828,20850.68198756617
3892.092006856753,4494.293202789034,20772.357484341563
3962.2215878459792,4828.454786565918,19948.437583865998
3852.355033826082,4489.494239757818,19764.997967404193
3855.623960478054,4568.756906389104,21518.222936591756
4078.379033419173,4672.678450958769,21245.73400095293
3962.8961548820457,4558.186442439892,21001.523264022464
3967.8056810197572,4486.30458318803,20875.25062512514
3854.3072859856907,4226.8742645093,20314.02197268755
4174.038489067707,4409.351308010507,20678.23882268075
3936.374076570278,4342.474176217219,19375.93534434639
3958.6956616577045,4367.692171493844,20509.53742990821
4069.658547466134,4552.086135330868,20698.20111223966
3944.4507425939964,4720.70553050208,21515.66122130772
3781.5759562652697,4461.97584079769,21684.65835102097
4000.731487030166,4537.888197744406,20860.37484355973
3961.6279365933196,4408.488252502668,19678.530439059938
4203.130272270072,4708.583228322774,21039.81369317933
3988.949716959708,4230.279725797776,19871.583956479524
3773.512516090833,4267.813148210353,19775.851930220913
3749.6289242159983,4359.872737790175,20251.498627749716
3971.317476603688,4393.585445349964,21390.883403517408
4092.941291398832,4474.9889756868715,21705.4878258488
4000.4785788040012,4648.968158995862,20305.265274875124
4284.503752231893,4330.847966793049,19335.123213630824
4050.5365758178064,4519.345743020157,19756.770448482846
3973.604875639757,4270.214434558116,19927.854482715255
4071.123906845703,4397.271800196526,20111.66876610846
3980.460666642798,4686.324860705508,20613.261300206268
3988.93228579877,4464.4871851544585,20764.240405358727
3932.446604945397,4459.137947557146,20651.056837726745
4079.8287371111537,4314.699558742306,21000.613681517
4014.0575624666917,4478.170826938226,21008.368663472058
3758.7926817623047,4411.435864671234,21182.08428884001
4111.870098332841,4585.980502358708,21017.64165335144
3954.028654050486,4374.996221419121,19175.21552697019
4061.5625036907304,4268.133006992527,21319.755987261833
3938.822889270699,4590.429088546102,20187.477791575388
4187.158842787757,4630.524238511804,21036.592000306948
3906.725952151875,4460.6690920146975,20567.659452876553
