"ISRE_emf","ISRE_erf","ISRE_ecf"
2.4864250010884,2.27624826519345,5.31508519601589
2.37737433985868,2.66662246504005,5.56947133042904
2.18306455039976,2.42309255444962,5.01153239508031
2.52426999660041,2.68139136608114,5.1128424670906
2.17512015515851,2.27529102515358,5.41658697711511
2.27864785868208,2.90024071158078,4.97920729371888
2.47611026389064,2.56730795879985,5.4488859816591
2.50273859686922,2.42093554181987,5.51115228147405
2.59738488157905,2.57646247194122,5.26437147625911
2.17517682864837,2.1999752647785,5.47109160538068
2.27434334026508,2.61640702841659,5.64893488516989
2.52407723718002,2.47729764696515,5.52758962881021
2.47335404443674,2.49415977191043,5.31213426952723
2.64308317842141,2.296880330963,5.35383422095304
2.52555046102638,2.70175889771515,6.1512725653208
2.53023089157318,2.54557086533626,5.87966783551694
2.22073875710175,2.47222902751099,5.60031763403702
2.61784959452636,2.46718645984429,5.2104788033562
2.35858178756733,2.51195272016548,5.42928465609612
2.12724400668222,2.56747870967882,5.61078111329503
2.37474036219529,2.35995044750397,5.39803372397624
2.28855288959177,2.86460674462642,5.54675190489815
2.44751167982669,2.62914465293792,5.51162953770834
2.2902540503154,2.32858159376792,5.63479116129004
2.31063993004154,2.66879871825211,5.90499204862476
2.5996602669375,2.68259133374749,5.3962382576446
2.38055816466025,2.10513312615506,5.66823395284295
2.58611204111081,2.26882491366997,5.09551200702851
2.56130859847598,2.66507305882951,5.13101757622079
2.17446981731909,2.37340737038234,5.3063348863262
2.54819945217431,2.24997073792147,5.09922006373167
2.34023955932092,2.27456023766612,5.5915195554375
2.77876541563505,2.28680973306574,5.83389537814604
2.39240830357504,2.41902119252348,5.51847617111481
2.56666824309211,2.58194078482353,5.70060609844124
2.5320860422778,2.5375046408781,5.42344904705339
2.77869805058485,2.5772523728745,5.39324452587881
2.45971194263416,2.48235774891179,5.58374624049248
2.40129924407218,2.29179622710734,5.32178020822919
2.66889571879206,2.53381814991674,5.4648247429483
2.54896249096495,2.27919088527142,5.80577492776936
2.32062566000488,2.56307072051875,5.23386341507505
2.47432970962205,2.45884726294538,5.97518372200147
2.48340631264411,2.47300664209631,5.20099290466429
2.43813574203759,2.41892318417611,5.63261708943994
2.54314741741879,2.58094005254947,5.57786456172897
2.48906552846675,2.34035743007216,5.35547895744444
2.40604503755061,2.72549592450093,5.49232479100548
2.22012611219347,2.63503046624213,5.22471041918467
2.52179906914979,2.36850375505742,5.44570835040167
